Semester,Course,Professor,Difficult (TRUE/FALSE),Laboratory (TRUE/FALSE)
1,Linear Algebra,GIANNOPULOU,TRUE,FALSE
1,Discrete Mathematics,AXLIOPTAS,FALSE,FALSE
1,Introduction to Informatics and Telecommunications,TSALGATIDOU,FALSE,FALSE
1,Logical Design,PASCHALIS,FALSE,FALSE
1,Introduction to Programming,STAMATOPOULOS,FALSE,TRUE
3,Analysis II,GATZOURA,TRUE,FALSE
3,Probabilities and Elements of Statistics,KARALIOPOULOU,FALSE,FALSE
3,Object-oriented Programming,KARALI,FALSE,TRUE
3,Signals and Systems,PANAGAKIS,TRUE,FALSE
3,Laboratory of Circuits and Systems,PINO,FALSE,FALSE
5,Principles of Programming Languages,RONTOGIANNIS,FALSE,FALSE
5,Graphics I,THEOHARIS,FALSE,FALSE
5,Numerical Analysis,TZAFERIS,TRUE,FALSE
5,Applied Mathematics,GATZOURA,FALSE,FALSE
5,Implementation of Database Systems,IOANNIDIS,TRUE,TRUE
5,Operating Systems,HATZIEFTHIMIADIS,FALSE,FALSE
5,Computer Architecture II,GKIZOPOULOS,TRUE,FALSE
5,Artificial Intelligence (THE BEST!!!!),KOUMBARAKIS,FALSE,TRUE
5,Digital Systems Design -VHDL,PASCHALIS,FALSE,FALSE
5,Telecommunication Networks,VAROUTAS,FALSE,FALSE
5,Digital Signal Processing,ALEXANDROPOULOS,FALSE,FALSE
5,Communication Networks II,BALAOURAS,FALSE,FALSE
7,Algorithmic Operational Research,ZISIMOPOULOS,FALSE,FALSE
7,Advanced Topics of Algorithms,FOURTOUNELI,FALSE,FALSE
7,Special Topics of Theoretical Informatics: Structural Bioinformatics Algorithms,AXLIOPTAS,FALSE,FALSE
7,Bioinformatics Algorithms,EMIRIS,FALSE,FALSE
7,Advanced Scientific Calculations,TZAFERIS,FALSE,FALSE
7,Computational Complexity,GIANNOPULOU,FALSE,FALSE
7,Software Development for Algorithmic Problems,EMIRIS,FALSE,FALSE
7,Software Development for Information Systems,IOANNIDIS,FALSE,FALSE
7,Human Machine Communication,ROUSSOU,FALSE,FALSE
7,ICT in Learning (Informatics and Education),GOGOULOU,FALSE,FALSE
7,Artificial Intelligence II (THE SECOND BEST!!!),KOUMBARAKIS,TRUE,TRUE
7,Structure and Institutions of the European Union,TOLIDIS,FALSE,FALSE
7,VLSI Circuits Design,NIKAS,FALSE,FALSE
7,Special Topics of Communications and Signal Processing: Reinforcement machine learning and stochastic games,KALOUPTSIDIS,FALSE,FALSE
7,Software Development for Network and Telecommunication Systems,BALAOURAS,FALSE,FALSE
7,Informatics Systems and e-Accessibility for students with disabilities,PINO,FALSE,FALSE
